SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
7000001,7.6,5.5,4.6,5.9,5.8999999999999995
7000002,6.8,5.0,4.0,5.266666666666667,5.266666666666667
7000003,0.0,6.5,0.0,2.1666666666666665,2.1666666666666665
7000004,9.4,5.5,7.8,7.566666666666666,7.566666666666666
7000005,7.0,5.5,3.2,5.233333333333333,5.233333333333333
7000006,7.8,6.0,8.8,7.533333333333334,7.533333333333334
7000007,8.8,6.0,7.2,7.333333333333333,7.333333333333333
7000008,5.6,8.5,2.6,5.566666666666666,5.566666666666666
7000009,8.6,7.5,8.6,8.233333333333334,8.233333333333334
7000010,3.2,4.0,0.0,2.4,2.4
7000011,7.8,7.25,5.6,6.883333333333333,6.883333333333333
7000012,4.2,8.0,3.2,5.133333333333333,5.133333333333333
7000013,8.0,6.0,4.8,6.266666666666667,6.266666666666667
7000014,8.0,3.5,4.2,5.233333333333333,5.233333333333333
7000015,6.8,6.5,7.2,6.833333333333333,6.833333333333333
7000016,7.8,7.5,7.6,7.633333333333333,7.633333333333333
7000017,8.0,6.5,5.6,6.7,6.7
7000018,7.6,7.75,9.4,8.25,8.25
7000019,5.4,4.5,4.4,4.766666666666667,4.766666666666667
7000020,0.0,5.5,0.0,1.8333333333333333,1.8333333333333333
7000021,2.4,2.5,4.0,2.966666666666667,2.966666666666667
7000022,9.0,5.75,9.2,7.983333333333333,7.983333333333333
7000023,7.8,5.25,4.2,5.75,5.75
7000024,8.2,4.75,7.2,6.716666666666666,6.716666666666666
7000025,9.0,5.25,6.8,7.016666666666667,7.016666666666667
7000026,7.6,6.25,4.6,6.15,6.1499999999999995
7000027,4.6,7.75,5.6,5.983333333333333,5.983333333333333
7000028,6.6,8.0,7.6,7.399999999999999,7.3999999999999995
7000029,8.2,5.5,8.4,7.366666666666667,7.366666666666667
7000030,8.4,6.75,8.8,7.983333333333334,7.983333333333334
7000031,8.2,6.25,6.0,6.816666666666666,6.816666666666666
7000032,5.0,5.25,4.2,4.816666666666666,4.816666666666666
7000033,8.2,6.5,6.0,6.9,6.8999999999999995
7000034,7.8,5.75,5.8,6.45,6.45
7000035,7.0,8.0,5.8,6.933333333333334,6.933333333333334
7000036,6.4,5.0,5.6,5.666666666666667,5.666666666666667
7000037,8.2,4.75,4.4,5.783333333333334,5.783333333333334
7000038,7.8,6.0,9.0,7.6,7.6000000000000005
7000039,4.4,6.75,4.6,5.25,5.25
7000040,8.2,5.75,8.2,7.383333333333333,7.383333333333333
7000041,7.4,6.25,4.6,6.083333333333333,6.083333333333333
7000042,8.4,5.5,3.8,5.9,5.8999999999999995
7000043,5.0,6.0,3.6,4.866666666666666,4.866666666666666
7000044,5.4,8.5,4.6,6.166666666666667,6.166666666666667
