SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
44000002,7.0,8.0,6.6,7.2,7.2
44000003,7.0,7.0,6.2,6.733333333333333,6.733333333333333
44000004,8.6,9.0,8.8,8.8,8.8
44000006,6.4,7.75,5.4,6.516666666666667,6.516666666666667
44000007,8.0,6.5,8.2,7.566666666666666,7.566666666666666
44000008,5.2,6.0,6.0,5.733333333333333,5.733333333333333
44000009,7.6,7.5,7.4,7.5,7.5
44000010,6.8,9.0,8.0,7.933333333333334,7.933333333333334
44000011,7.6,7.5,5.2,6.766666666666667,6.766666666666667
44000013,8.8,7.25,9.0,8.35,8.35
44000014,8.4,6.5,9.4,8.1,8.1
44000015,6.6,7.5,6.4,6.833333333333333,6.833333333333333
44000016,6.8,9.0,9.4,8.4,8.4
44000017,7.2,6.75,6.2,6.716666666666666,6.716666666666666
44000018,7.8,9.0,9.6,8.799999999999999,8.799999999999999
44000019,7.8,7.5,9.2,8.166666666666666,8.166666666666666
44000020,8.2,8.25,8.6,8.35,8.35
44000021,7.4,6.25,9.2,7.616666666666667,7.616666666666667
44000023,7.0,6.5,7.4,6.966666666666666,6.966666666666666
44000024,7.8,6.75,4.8,6.45,6.45
44000025,8.2,8.25,8.2,8.216666666666667,8.216666666666667
44000027,6.2,7.5,5.2,6.3,6.3
44000028,8.0,6.75,8.8,7.85,7.8500000000000005
44000029,7.8,8.75,8.8,8.450000000000001,8.450000000000001
44000030,7.4,7.75,7.0,7.383333333333333,7.383333333333333
44000031,8.0,7.25,8.6,7.95,7.95
44000032,8.0,7.5,6.8,7.433333333333334,7.433333333333334
44000034,7.6,7.75,6.0,7.116666666666667,7.116666666666667
44000037,6.4,5.5,4.6,5.5,5.5
44000038,6.4,8.0,6.8,7.066666666666666,7.066666666666666
44000040,7.4,8.25,8.6,8.083333333333334,8.083333333333334
44000041,8.2,7.25,8.8,8.083333333333334,8.083333333333334
44000043,6.8,8.75,7.6,7.716666666666666,7.716666666666666
44000044,7.4,8.0,8.8,8.066666666666668,8.066666666666668
44000045,8.2,7.75,5.2,7.05,7.05
44000046,6.4,7.75,5.0,6.383333333333333,6.383333333333333
44000048,8.0,8.5,8.6,8.366666666666667,8.366666666666667
44000049,7.6,7.75,8.0,7.783333333333334,7.783333333333334
44000050,6.8,6.5,4.8,6.033333333333334,6.033333333333334
44000051,8.0,7.5,8.0,7.833333333333333,7.833333333333333
44000054,7.0,7.0,5.4,6.466666666666666,6.466666666666666
44000057,7.4,8.5,9.2,8.366666666666667,8.366666666666667
44000058,7.4,7.75,7.4,7.516666666666667,7.516666666666667
44000060,7.4,6.75,6.0,6.716666666666666,6.716666666666666
44000061,7.4,8.0,8.6,8.0,8.0
44000062,7.2,8.0,7.8,7.666666666666667,7.666666666666667
44000064,7.8,8.5,7.8,8.033333333333333,8.033333333333333
44000069,7.2,7.5,7.2,7.3,7.3
44000070,8.4,7.25,5.4,7.016666666666667,7.016666666666667
44000071,7.6,8.75,7.6,7.983333333333334,7.983333333333334
44000072,7.4,6.25,5.6,6.416666666666667,6.416666666666667
44000074,7.6,4.75,9.6,7.316666666666666,7.316666666666666
44000076,7.8,7.75,9.2,8.25,8.25
44000077,6.6,8.0,5.6,6.733333333333333,6.733333333333333
44000078,7.8,8.0,7.6,7.8,7.8
44000080,5.8,7.75,7.4,6.983333333333334,6.983333333333334
44000082,7.8,6.5,6.8,7.033333333333334,7.033333333333334
44000083,8.0,7.0,9.2,8.066666666666666,8.066666666666666
44000085,4.8,6.0,5.8,5.533333333333334,5.533333333333334
44000086,6.8,7.75,5.6,6.716666666666666,6.716666666666666
44000090,7.2,7.0,7.8,7.333333333333333,7.333333333333333
44000091,8.2,6.75,4.4,6.45,6.45
44000095,6.6,7.0,5.4,6.333333333333333,6.333333333333333
44000096,6.2,7.75,6.2,6.716666666666666,6.716666666666666
44000098,6.4,8.0,8.4,7.6,7.6000000000000005
44000099,8.8,7.5,7.0,7.766666666666667,7.766666666666667
44000100,7.8,7.75,5.8,7.116666666666667,7.116666666666667
44000101,6.8,0.0,8.8,5.2,5.2
44000103,8.2,7.25,3.0,6.15,6.1499999999999995
44000104,8.0,6.5,7.6,7.366666666666667,7.366666666666667
44000105,7.2,6.0,4.6,5.933333333333333,5.933333333333333
44000109,6.8,8.0,4.2,6.333333333333333,6.333333333333333
44000110,7.0,6.25,8.8,7.35,7.3500000000000005
44000113,8.4,7.5,7.4,7.766666666666667,7.766666666666667
